Nombre Equipo,Valor Equipo (en millones $),Fecha
Real Madrid CF,51750000000,01/11/2010
FC Barcelona,52760000000,01/11/2010
Real Sociedad,5090000000,01/11/2010
Real Madrid CF,53100000000,01/11/2011
FC Barcelona,60610000000,01/11/2011
Real Sociedad,7160000000,01/11/2011
Real Madrid CF,60130000000,01/11/2012
FC Barcelona,65100000000,01/11/2012
Real Sociedad,7990000000,01/11/2012
Real Madrid CF,58350000000,01/11/2013
FC Barcelona,58230000000,01/11/2013
Real Sociedad,12300000000,01/11/2013
Real Madrid CF,68880000000,01/11/2014
FC Barcelona,62000000000,01/11/2014
Real Sociedad,11700000000,01/11/2014
Real Madrid CF,71880000000,01/11/2015
FC Barcelona,65750000000,01/11/2015
Real Sociedad,12390000000,01/11/2015
Real Madrid CF,77580000000,01/11/2016
FC Barcelona,76450000000,01/11/2016
Real Sociedad,11280000000,01/11/2016
Real Madrid CF,74380000000,01/11/2017
FC Barcelona,70650000000,01/11/2017
Real Sociedad,15370000000,01/11/2017
Real Madrid CF,103000000000,01/11/2018
FC Barcelona,123000000000,01/11/2018
Real Sociedad,21500000000,01/11/2018
Real Madrid CF,119000000000,01/11/2019
FC Barcelona,118000000000,01/11/2019
Real Sociedad,30980000000,01/11/2019
Real Madrid CF,85500000000,01/11/2020
FC Barcelona,87870000000,01/11/2020
Real Sociedad,30960000000,01/11/2020
Real Madrid CF,75600000000,01/11/2021
FC Barcelona,67200000000,01/11/2021
Real Sociedad,38400000000,01/11/2021
Real Madrid CF,83750000000,01/11/2022
FC Barcelona,81370000000,01/11/2022
Real Sociedad,37130000000,01/11/2022
Real Madrid CF,103000000000,01/11/2023
FC Barcelona,86200000000,01/11/2023
Real Sociedad,43260000000,01/11/2023
