Nombre Jugador,Valor Jugador (en millones),Club
Lamine Yamal,6000000000,16
Assane Diao,1500000000,18
Gavi,9000000000,19
Vitor Roque,4000000000,19
Sávio,3000000000,19
Arthur Vermeeren,3000000000,19
Samu Omorodion,2000000000,19
Arda Güler,1500000000,19
Jude Bellingham,18000000000,20
Alejandro Balde,5000000000,20
Pablo Barrios,2500000000,20
Javi Guerra,2000000000,20
Arnau Martínez,1500000000,20
Fermín López,1500000000,20
Arsen Zakharyan,1500000000,20
Eduardo Camavinga,9000000000,21
Pedri,9000000000,21
Nico Williams,5000000000,21
Yéremy Pino,3000000000,21
Filip Jørgensen,1500000000,21
Takefusa Kubo,6000000000,22
Álex Baena,2500000000,22
Miguel Gutiérrez,2000000000,22
Ander Barrenetxea,2000000000,22
Aimar Oroz,1500000000,22
Abde Ezzalzouli,1500000000,22
Vinicius Junior,15000000000,23
Rodrygo,10000000000,23
Oihan Sancet,3500000000,23
Giorgi Mamardashvili,3000000000,23
Rodrigo Riquelme,2500000000,23
André Almeida,2000000000,23
Eric García,1500000000,23
Aurélien Tchouaméni,9000000000,24
João Félix,4000000000,24
Ferran Torres,3500000000,24
Samuel Lino,2500000000,24
Dani Vivian,2000000000,24
Brahim Díaz,2000000000,24
Jørgen Strand Larsen,1500000000,24
Fran García,1500000000,24
Federico Valverde,10000000000,25
Ronald Araujo,7000000000,25
Jules Koundé,6000000000,25
Martín Zubimendi,5000000000,25
Nahuel Molina,4500000000,25
Boubakary Soumaré,1400000000,25
Frenkie de Jong,8000000000,26
Éder Militão,7000000000,26
Mikel Oyarzabal,5000000000,26
Artem Dovbyk,2800000000,26
Viktor Tsygankov,2500000000,26
Juan Foyth,2500000000,26
Unai Simón,2500000000,26
Igor Zubeldia,2200000000,26
Yangel Herrera,2000000000,26
Aleix García,2000000000,26
Youssef En-Nesyri,1800000000,26
Kieran Tierney,1800000000,26
Dodi Lukébakio,1500000000,26
Borja Mayoral,1500000000,26
Mikel Merino,5000000000,27
Raphinha,5000000000,27
Brais Méndez,4000000000,27
Andreas Christensen,4000000000,27
Robin Le Normand,4000000000,27
Gonçalo Guedes,1800000000,27
Djibril Sow,1800000000,27
Umar Sadiq,1600000000,27
Jonathan Bamba,1400000000,27
José Gayà,3000000000,28
Álex Remiro,2500000000,28
Mario Hermoso,2500000000,28
Ferland Mendy,2000000000,28
Pablo Fornals,1700000000,28
Alexander Sørloth,1400000000,28
João Cancelo,4000000000,29
José María Giménez,3000000000,29
Rodrigo de Paul,3000000000,29
Marcos Llorente,3000000000,29
Iñaki Williams,2500000000,29
Guido Rodríguez,2400000000,29
Kepa Arrizabalaga,2000000000,29
Ángel Correa,2000000000,29
Vedat Muriqi,1500000000,29
Reinildo Mandava,1600000000,30
Rui Silva,1500000000,30
David García,1400000000,30
Marc-André ter Stegen,3500000000,31
Jan Oblak,3500000000,31
Thibaut Courtois,3500000000,31
David Alaba,3000000000,31
Antonio Rüdiger,2500000000,31
Álvaro Morata,2000000000,31
Gerard Moreno,1500000000,31
Antoine Griezmann,2500000000,32
Koke,1400000000,32
İlkay Gündoğan,1800000000,33
Toni Kroos,1400000000,34
Robert Lewandowski,2000000000,35
